Sample,Exp1,Exp2,Geometric Mean,Ratio
1A,2.28e-02,6.36e-03,1.20e-02,3.590
2A,1.05e-01,9.72e-02,1.01e-01,1.080
3A,4.72e-01,1.82e+00,9.27e-01,0.259
4A,2.01e+01,5.49e+00,1.05e+01,3.660
5A,8.25e+01,1.47e+02,1.10e+02,0.562
1B,6.40e-03,1.89e-02,1.10e-02,0.338
2B,1.29e-01,1.35e-01,1.32e-01,0.957
3B,6.77e-01,5.92e-01,6.33e-01,1.140
4B,1.12e+01,1.05e+01,1.08e+01,1.060
5B,2.11e+02,1.48e+02,1.77e+02,1.420
1C,1.15e-02,8.93e-03,1.01e-02,1.280
2C,1.62e-01,1.53e-01,1.57e-01,1.060
3C,9.35e-01,8.56e-01,8.95e-01,1.090
4C,7.14e+00,1.11e+01,8.90e+00,0.644
5C,9.59e+01,1.10e+02,1.03e+02,0.875
1D,7.61e-03,6.96e-03,7.28e-03,1.090
2D,1.68e-01,7.11e-02,1.09e-01,2.360
3D,8.88e-01,7.95e-01,8.40e-01,1.120
4D,7.88e+00,2.23e+01,1.33e+01,0.354
5D,1.24e+02,1.88e+02,1.52e+02,0.657
1E,9.26e-03,1.44e-02,1.16e-02,0.641
2E,9.53e-02,6.94e-02,8.13e-02,1.370
3E,1.27e+00,1.42e+00,1.34e+00,0.892
4E,1.45e+01,6.80e+00,9.92e+00,2.130
5E,7.87e+01,1.34e+02,1.03e+02,0.585
1F,1.97e-02,1.91e-02,1.94e-02,1.030
2F,6.12e-02,1.40e-01,9.26e-02,0.436
3F,1.23e+00,8.37e-01,1.02e+00,1.470
4F,8.90e+00,9.49e+00,9.19e+00,0.938
5F,1.18e+02,6.28e+01,8.59e+01,1.870
