Sample,Exp1,Exp2,Geometric Mean,Ratio
2455167,8.84e+02,5.31e+02,6.85e+02,1.66e+00
2225318,3.32e-01,1.04e+00,5.87e-01,3.20e-01
4625166,2.17e+00,2.15e+00,2.16e+00,1.01e+00
9852359,2.56e+00,2.06e+00,2.30e+00,1.24e+00
2107695,1.47e+02,2.15e+02,1.78e+02,6.84e-01
7465843,7.55e-02,8.07e-02,7.80e-02,9.35e-01
5742014,1.79e+02,1.89e+02,1.84e+02,9.49e-01
8157221,3.74e+01,5.04e+01,4.35e+01,7.42e-01
9518393,3.55e-02,4.35e-02,3.93e-02,8.15e-01
6555456,5.39e+01,8.39e+01,6.72e+01,6.42e-01
1701285,8.19e-02,8.08e-02,8.14e-02,1.01e+00
5210735,9.42e+00,9.40e+00,9.41e+00,1.00e+00
6436142,2.38e-01,1.97e-01,2.17e-01,1.21e+00
9693337,5.05e-01,2.96e-01,3.87e-01,1.71e+00
9592244,8.85e-01,1.36e+00,1.10e+00,6.49e-01
2341352,7.06e-01,4.73e-01,5.78e-01,1.49e+00
4824971,3.68e-02,3.77e-02,3.72e-02,9.77e-01
1961373,4.71e-03,3.42e-03,4.02e-03,1.38e+00
6625835,2.66e-01,3.28e-01,2.95e-01,8.13e-01
5867904,1.57e-02,1.59e-02,1.58e-02,9.93e-01
4815800,3.56e+00,2.57e+00,3.02e+00,1.38e+00
9496979,6.95e-02,4.86e-02,5.82e-02,1.43e+00
8806097,1.70e-01,7.22e-02,1.11e-01,2.35e+00
6195084,3.75e+00,2.85e+00,3.27e+00,1.32e+00
2781456,1.62e-03,3.43e-03,2.36e-03,4.74e-01
1850113,6.33e+01,6.20e+01,6.26e+01,1.02e+00
1764033,3.39e-03,5.16e-03,4.18e-03,6.57e-01
6086475,1.71e+03,7.08e+02,1.10e+03,2.42e+00
8316765,1.44e+00,1.85e+00,1.63e+00,7.75e-01
7627419,4.96e+00,2.25e+00,3.34e+00,2.21e+00
4872177,4.21e-02,3.77e-02,3.98e-02,1.12e+00
4087684,6.31e+01,2.88e+01,4.26e+01,2.19e+00
