Sample,Exp1,Exp2,Geometric Mean,Ratio
6473444,2.30e+01,5.40e+01,3.52e+01,0.426
3876336,5.96e-03,4.78e-03,5.34e-03,1.250
9422870,5.39e-03,7.71e-03,6.45e-03,0.699
6296408,2.97e-03,7.90e-03,4.85e-03,0.376
6353001,4.34e+00,8.28e+00,6.00e+00,0.524
1943395,3.19e+02,7.83e+02,5.00e+02,0.407
3596216,4.17e+00,7.89e+00,5.74e+00,0.529
4956301,4.82e-03,1.77e-02,9.24e-03,0.273
9459881,1.83e+03,2.75e+03,2.24e+03,0.665
2682673,3.21e-01,4.81e-01,3.93e-01,0.667
7022982,3.54e-01,5.46e-01,4.39e-01,0.647
3233818,1.17e-02,1.18e-02,1.18e-02,0.995
9662904,3.69e-03,1.06e-02,6.25e-03,0.349
4396209,4.94e+01,1.22e+02,7.78e+01,0.404
4242691,6.07e-02,3.95e-02,4.89e-02,1.540
4647074,6.57e-03,1.14e-02,8.65e-03,0.578
5723636,7.38e+00,6.37e+00,6.86e+00,1.160
2756522,3.83e+00,6.92e+00,5.15e+00,0.553
8738908,8.84e-01,3.39e+00,1.73e+00,0.261
7839073,2.93e-01,6.32e-01,4.30e-01,0.464
8844154,1.18e+00,2.84e+00,1.83e+00,0.415
8861263,4.09e-01,4.83e-01,4.44e-01,0.847
1380230,3.87e-03,1.61e-02,7.90e-03,0.240
5681311,5.39e-03,4.00e-03,4.64e-03,1.350
4510261,7.42e-02,4.70e-01,1.87e-01,0.158
4122818,1.62e+00,2.36e+00,1.96e+00,0.684
9990520,1.99e+00,2.30e+00,2.14e+00,0.865
5684213,1.80e-02,6.40e-02,3.40e-02,0.282
2861749,7.77e-01,1.47e+00,1.07e+00,0.528
4206286,4.72e+00,1.18e+01,7.46e+00,0.400
1199004,1.04e+02,2.41e+02,1.59e+02,0.432
3518915,3.66e+00,7.90e+00,5.38e+00,0.463
