Sample,Meas1,Meas2,MeasMean,MeasDiff,Class
6335969, 3.50e+01, 4.28e+01, 3.89e+01,-7.73e+00,NA
9231419, 1.36e+01, 1.06e+01, 1.21e+01, 3.03e+00,NA
4106241, 2.60e+01, 2.72e+01, 2.66e+01,-1.23e+00,NA
4061107, 8.17e+01, 6.41e+01, 7.29e+01, 1.76e+01,NA
8176306, 1.02e+02, 1.19e+02, 1.11e+02,-1.71e+01,NA
7513683, 6.13e+00, 6.07e+00, 6.10e+00, 5.40e-02,NA
8687585, 2.97e+01, 3.04e+01, 3.00e+01,-7.11e-01,NA
2985348, 4.94e+01, 5.65e+01, 5.29e+01,-7.08e+00,NA
7875663, 6.35e+01, 7.43e+01, 6.89e+01,-1.08e+01,NA
5736547, 8.37e+01, 8.75e+01, 8.56e+01,-3.81e+00,NA
9089528,-3.97e+00,-3.56e+00,-3.76e+00,-4.09e-01,NA
6313970, 7.49e+01, 9.25e+01, 8.37e+01,-1.76e+01,NA
6749718,-7.89e+00,-7.04e+00,-7.46e+00,-8.53e-01,NA
4921761, 6.62e+01, 6.62e+01, 6.62e+01,-7.35e-02,NA
7873829, 6.85e+01, 7.31e+01, 7.08e+01,-4.64e+00,NA
9691788, 1.44e+01, 1.65e+01, 1.55e+01,-2.10e+00,NA
8305544, 7.49e+01, 7.25e+01, 7.37e+01, 2.48e+00,NA
8147430, 1.50e+01, 1.18e+01, 1.34e+01, 3.14e+00,NA
4380403, 6.00e+01, 6.69e+01, 6.34e+01,-6.97e+00,NA
7196554, 5.51e+00, 6.63e+00, 6.07e+00,-1.11e+00,NA
3004396, 2.50e+01, 2.01e+01, 2.26e+01, 4.94e+00,NA
3588754, 9.22e+01, 9.31e+01, 9.27e+01,-8.46e-01,NA
2839151, 2.51e+01, 2.53e+01, 2.52e+01,-1.81e-01,NA
3893271, 6.27e+01, 5.85e+01, 6.06e+01, 4.26e+00,NA
1719923, 2.32e+01, 2.56e+01, 2.44e+01,-2.34e+00,NA
6646385, 6.01e+01, 6.21e+01, 6.11e+01,-2.00e+00,NA
8637335,-6.82e+00,-8.33e+00,-7.58e+00, 1.51e+00,NA
1955700, 7.08e+01, 5.03e+01, 6.05e+01, 2.06e+01,Outlier
8392731,-4.32e+00,-4.12e+00,-4.22e+00,-2.07e-01,NA
3587157, 8.54e+01, 9.74e+01, 9.14e+01,-1.20e+01,NA
3875791, 7.08e+01, 6.63e+01, 6.85e+01, 4.46e+00,NA
7303331, 1.89e+01, 1.95e+01, 1.92e+01,-6.12e-01,NA
7741769, 4.29e+01, 3.80e+01, 4.04e+01, 4.95e+00,NA
8577806, 4.06e+00, 3.38e+00, 3.72e+00, 6.83e-01,NA
1811061, 2.84e+01, 3.27e+01, 3.06e+01,-4.30e+00,NA
5710278, 8.92e+01, 9.00e+01, 8.96e+01,-7.60e-01,NA
6400725, 4.48e+01, 4.34e+01, 4.41e+01, 1.38e+00,NA
7457344, 2.19e+01, 2.41e+01, 2.30e+01,-2.14e+00,NA
4189431, 3.37e+01, 2.99e+01, 3.18e+01, 3.84e+00,NA
6771254, 1.03e+02, 1.17e+02, 1.10e+02,-1.38e+01,NA
9072329, 8.34e+01, 7.46e+01, 7.90e+01, 8.85e+00,NA
4277945, 6.59e+01, 8.27e+01, 7.43e+01,-1.68e+01,NA
8880929, 1.34e+02, 9.21e+01, 1.13e+02, 4.15e+01,Outlier
8447840, 6.04e+01, 6.50e+01, 6.27e+01,-4.61e+00,NA
3437575, 9.44e+01, 8.41e+01, 8.93e+01, 1.03e+01,NA
7300923, 1.91e+00, 1.53e+00, 1.72e+00, 3.80e-01,NA
8528740, 5.20e+01, 3.91e+01, 4.55e+01, 1.29e+01,NA
7936714, 3.95e+01, 4.63e+01, 4.29e+01,-6.84e+00,NA
8959444, 3.06e+01, 4.04e+01, 3.55e+01,-9.80e+00,NA
4219082, 4.63e+01, 4.39e+01, 4.51e+01, 2.34e+00,NA
5411568, 3.18e+01, 2.10e+01, 2.64e+01, 1.08e+01,NA
7836058, 5.08e+00, 5.12e+00, 5.10e+00,-4.17e-02,NA
3069824, 7.34e+01, 7.86e+01, 7.60e+01,-5.14e+00,NA
3235184, 1.01e+02, 1.09e+02, 1.05e+02,-7.15e+00,NA
7590451, 2.22e+01, 2.50e+01, 2.36e+01,-2.84e+00,NA
2845181, 3.66e+01, 3.86e+01, 3.76e+01,-1.99e+00,NA
1195208, 3.24e+01, 3.73e+01, 3.49e+01,-4.90e+00,NA
7860268, 1.07e+02, 8.60e+01, 9.63e+01, 2.06e+01,Outlier
2947052, 2.29e+01, 2.04e+01, 2.16e+01, 2.57e+00,NA
7536011, 1.08e+02, 1.01e+02, 1.04e+02, 7.22e+00,NA
5420616, 1.29e+01, 1.79e+01, 1.54e+01,-4.98e+00,NA
6551128, 7.07e+01, 7.86e+01, 7.46e+01,-7.95e+00,NA
2095357, 5.30e+01, 6.03e+01, 5.66e+01,-7.29e+00,NA
4516358,-1.18e+01,-1.07e+01,-1.12e+01,-1.19e+00,NA
3185134, 1.07e+01, 1.11e+01, 1.09e+01,-3.89e-01,NA
7566079, 8.01e+01, 1.15e+02, 9.77e+01,-3.52e+01,Outlier
8928315, 6.75e+01, 5.18e+01, 5.96e+01, 1.57e+01,NA
1993297, 2.47e+01, 2.31e+01, 2.39e+01, 1.57e+00,NA
3825495, 9.33e+01, 1.12e+02, 1.03e+02,-1.88e+01,Outlier
6552114, 8.17e+01, 8.30e+01, 8.24e+01,-1.27e+00,NA
5003621, 1.01e+02, 9.48e+01, 9.79e+01, 6.18e+00,NA
3757937, 2.13e+01, 2.07e+01, 2.10e+01, 6.33e-01,NA
5211566, 1.20e+02, 1.09e+02, 1.15e+02, 1.09e+01,NA
4442249, 1.15e+02, 1.30e+02, 1.22e+02,-1.50e+01,NA
1590064, 6.40e+01, 6.25e+01, 6.33e+01, 1.57e+00,NA
