Sample,Exp1,Exp2,Geometric Mean,Ratio
5126755,1.40e+00,2.27e+00,1.78e+00,6.14e-01
4145256,2.33e-03,2.68e-03,2.50e-03,8.72e-01
6997391,1.67e+00,3.50e+00,2.42e+00,4.75e-01
4813504,1.21e+00,2.79e+00,1.84e+00,4.34e-01
8642343,2.53e+00,3.12e+00,2.81e+00,8.12e-01
8459273,5.09e+02,1.42e+03,8.50e+02,3.59e-01
4508100,2.12e+01,4.30e+01,3.02e+01,4.91e-01
6304480,1.39e-02,1.06e-02,1.21e-02,1.32e+00
3481858,6.70e+02,7.32e+02,7.00e+02,9.15e-01
4810497,1.36e-01,3.30e-01,2.12e-01,4.12e-01
6212554,2.71e+01,3.46e+01,3.06e+01,7.84e-01
5966355,3.91e-03,5.76e-03,4.74e-03,6.78e-01
8986813,6.07e-03,8.03e-03,6.98e-03,7.55e-01
5386931,8.55e-02,1.17e-01,1.00e-01,7.29e-01
1610510,6.01e-02,3.20e-02,4.38e-02,1.88e+00
2761493,4.27e-01,3.08e-01,3.63e-01,1.38e+00
1915244,3.21e+02,4.57e+02,3.83e+02,7.03e-01
8534915,2.72e+02,2.56e+02,2.64e+02,1.06e+00
8845157,8.80e-01,1.80e+00,1.26e+00,4.87e-01
6384501,9.68e+02,3.41e+02,5.75e+02,2.84e+00
2216512,2.17e+00,9.30e-01,1.42e+00,2.34e+00
4948506,3.69e+00,7.06e+00,5.11e+00,5.23e-01
9427145,1.27e+00,1.04e+00,1.15e+00,1.22e+00
2260220,1.98e-03,2.19e-03,2.08e-03,9.03e-01
4222464,3.68e+01,6.48e+01,4.88e+01,5.68e-01
4246231,4.18e+02,1.12e+03,6.84e+02,3.72e-01
3153712,1.95e+02,2.22e+02,2.08e+02,8.80e-01
1099117,1.27e+01,1.10e+01,1.18e+01,1.15e+00
2256769,3.86e+01,4.21e+01,4.03e+01,9.17e-01
9737980,8.30e-04,1.20e-03,9.99e-04,6.92e-01
8509348,2.72e-03,5.17e-03,3.75e-03,5.27e-01
4015301,1.79e-02,1.51e-02,1.64e-02,1.19e+00
